四、生物医学模式的概念及两个理论,生物医学模式：是指从生物学的角度认识健康与疾病，反映病因、宿主和自然环境三者内在联系的医学观和方法论
二元论：认为躯体和精神存在精密的分工，疾病具有微观的生物学基础，也就是疾病的产生必然可以在躯体上面找到病理变化,还原论：认为疾病具有微观的物理和化学基础，疾病的治疗最终都归结于采用物理和化学方法进行治疗
五、生物医学模式的优缺点,"优点：生物医学模式对医学的发展起到了重大的促进作用
在基础医学方面：对人体的认识从宏观进入到微观的层次，建立了基因理论，确定了生物学病因，理解了免疫机理
在临床医学方面：实现外科手术的无菌化，促进了外科的进步，许多烈性传染病病因彻底明确
在公共卫生方面：建立人和环境之间动态平衡的健康生态学模式，通过公共卫生手段和国家的宏观政策调控解决一系列问题
缺点：
生物医学模式强调生命活动在结构功能信息交换方面是统一整体，但忽视人是生物性与社会性的统一体。限制了他的视野，限制医学家对健康和疾病的全面认识性
另一方面导致了医学领域的高度专科化，产生大量甚至过剩的专科医生和专家。随着疾病谱和死因谱转变，专科化医生无法确诊某接慢性非传染性疾病的病因"
六、现代医学模式的产生背景（动因）,"生物医学模式的局限性：
不能解释由传染病逐步改变为慢性非传染性疾病的疾病谱转变
忽略心理、社会因素
疾病的表现形式从单因单果到多因单果、单因多果、多因多果
疾病谱和死亡谱的转变：20世纪，特别是50年代以来，人类疾病谱和死亡谱发生了很大的改变，影响人类健康与生命的主要疾病已由传染病逐步改变为慢性非传染性疾病
对保护健康和防治疾病的认识深化：随着人们对保护健康、防治疾病的经验积累，认识也有了深刻的变化。对人的属性的认识，由生物自然人上升到社会经济人，对疾病的发生和变化，由生物层次深入到心理与社会层次，对健康的思维也日趋全方位、多层次。认识到健康是一个连续性的状态，健康概念具有相对性，包括disease(疾病，躯体)，illness(患病、心理)和sickness(病态，社会)，认识到功能减低就是一种亚健康状态，而机能衰退就是一种亚临床疾病状态
医学科学发展的社会化趋势：医学发展史证明，医学的发展与社会发展息息相关。人类保护健康和防治疾病，已经不单是个人的活动，而成为整个社会性活动。只有动员全社会力量，保持健康、防治疾病才能有效
人们对卫生保健需求的提高：随着经济的发展，国民收入增加，人们对卫生保健的需要提出了更高的要求。人们已经不满足于不生病，身体好，还要求合理的营养，良好的劳动生活条件和生活方式，平衡的心理状态和健康的心态，良好的社会活动能力，提高生活质量，延年益寿。基于这些改变，美国学者恩格尔首先提出了生物医学模式已经逐步转变为生物-心理-社会医学模式"
七、生物-心理-社会医学模式的基本内涵,"现代医学模式强调了心理、社会因素在医学研究系统应有的位置：它不是以心理和社会因素取代生物因素，也不否定生物因素的重要作用，而是对片面单一以生物因素为医学核心的修正，给予心理、社会因素在医学思维与认知中应有的地位
现代医学模式更加准确地确定了生物因素的基础性和价值：它在强调心理、社会因素的时候，是以肯定生物因素为前提的
现代医学模式全方位探求影响人类健康与疾病的因果关系：它是在重视生物因素的前提下，把人的健康与疾病问题置于社会系统中去理解，把生物的人置于社会关系中去理解"
八、生物-心理-社会医学模式的基本内容,"生物遗传因素：是理解生命活动和疾病的基础。心理活动通过生理机制起作用，疾病会导致不良的心理感受，不良心态也会引起躯体疾患。而政治、经济、文化、行为方式等社会因素则是通过对个体生理和心理变化的影响而发挥作用的
环境因素：包括自然环境、心理环境和社会环境。自然环境包括原生环境（原有的自然环境）和次生环境（人工改造后的自然环境）；心理环境包括性格、应激和生活紧张因素、情绪等；社会环境包括经济收入、居住条件、营养状况、文化等
生活方式及行为因素：良好生活方式和习惯对健康起促进作用，不良生活方式甚至偏离行为如吸烟、酗酒等对健康造成危害。是对人类影响最大的因素
医疗卫生服务因素：医疗卫生服务是一种控制疾病的社会措施，医疗卫生服务的布局、资源的分配、卫生工作的方针、技术水平和服务质量是否符合人们的最大健康利益，都对人们的健康质量有着直接的影响"
九、生物-心理-社会医学模式对现代医学的贡献,"解放医学思维模式，以综合思维方式处理问题
扩大了医学研究的思路
疾病预防从单纯的生物预防扩大到社会、心理预防的新层次
医药卫生人才的知识结构发生巨大变化
为中国医学的发展注入新活力"
十、现代医学模式对医学的影响,"对医学目的的重新审视：
提出现代医学的四个目的：
预防疾病和损伤、促进和维持健康
解除由疾病引起的疼痛和痛苦
对疾病的照料和治疗、对不治之症的照料
避免早死，追求安详死亡
医学家们还认识到，应当将治愈与照料放到同等重要的地位
对卫生服务的影响：主要表现为“四个扩大”，即：
从治疗服务扩大到预防服务：将医疗服务工作纳入到预防的轨道，使卫生工作由医疗型向预防型过度，重视三级预防
从技术服务扩大到社会服务：发现居民健康问题、找出危险因素、进行健康指导促进、改变生活习惯行为方式；促进居民心理健康；发现影响健康的社会因素
从院内服务扩大到院外服务：由传统的封闭式院内服务逐步向院外开展社会服务，深入开展预防、医疗、保健、康复、健康教育、计划生育六位一体社区卫生服务；提供全科性的基本卫生保健服务
从生理服务扩大到心理服务：要求卫生服务的整体性，在照顾躯体同时对普通人群和病人进行心理服务
对医学教育的影响：
要求医学生树立正确的职业态度，要有社会责任感和科学献身精神
现代型的医学人才，既要有自然科学方面的知识，又要有社会科学、人文科学方面的知识
在学习专业技能的同时，还应加强社会实践的锻炼
对预防医学的影响：提倡群体预防和个体预防相结合
对临床医学的影响：临床医生向企科医生和专科医生分化；工作重点从以疾病为中心到以人为中心
对健康状况评价的影响：开始向以生活质量、三维健康为终点的健康状况评价转化
健康相关生活质量：是指在病伤、医疗干预、老化和社会环境改变的影响下个人的健康状态，以及与其经济、文化背景和价值取向相联系的主观满意度。健康状态和主观满意度构成了健康相关生活质量的主要内容。健康状态是从身体、心理和社会三方面来描述个人的功能状态。功能能力是生活质量测定的关键；主观满意度是指个人的需求和愿望得到满足时所产生的主观合意程度，属于生活质量的主观成分
第三章 医学模式与健康观"
一、社会因素的相关概念,"社会因素：是指社会的各项构成要素，包括自然环境和社会环境，自然环境又称为物质环境，包括未受人类影响的、天然形成的地理环境。社会环境又称为非物质环境，它包括一系列与社会生产力、生产关系有密切联系的因素
健康社会决定因素：在那些直接导致疾病的因素之外，由人们的社会地位和拥有的社会资源所决定的生活和工作的环境及其他对健康产生影响的因素。健康社会决定因素被认为是决定人们健康和疾病的根本原因，它也反映了人们在社会结构中的阶层、权力和财富的不同地位"
二、社会因素影响健康的特点,"作用的广泛性：一种社会因素可导致全身多个器官及系统发生功能变化。在现实生活中：
人们接触社会因素的多元性，使每种社会因素的作用难以显示其特异性
由于遗传及后天发展的差异，使每个人对同类型、同强度刺激的耐受性不同，从而使社会因素的致病作用及健康效应的特异性不明显
社会因素作为刺激源很少是一次性作用的，一般是通过缓慢逐步积累发生作用的
持久性和积累性：社会因素广泛存在于人们的现实生活中，对人类产生的作用是持久性的；同时，社会因素是以一定的时间顺序作用于人体的，可形成反应的累加、功能损害的累加和健康效应的累加作用
交互作用：社会因素对人类健康的作用通常是以交互作用的方式产生效应的，这是由于其因果关系的多元性所决定的。教育、经济、生育、营养可以分别直接影响人群健康，也可以互为其他社会因素的中介，或以其他社会因素为中介作用于健康"
三、社会因素影响健康的机制：,"社会因素主要通过心理感受这个中心环节发生作用的。社会因素作用于健康的机制是社会因素被人的感觉系统纳入，通过中枢神经系统的调节和控制，形成心理折射，产生心理反应及行为、即社会心理因素成病模式
感知觉系统是社会因素作用的门户：外界的一切刺激，包括社会因素必须通过人的感知觉系统，即眼、鼻、舌、皮肤等感觉器官及相应的神经系统的接受和知觉而发生作用
神经-内分泌-免疫调节网络是社会因素的中介：神经-内分泌-免疫调节网络是社会因素作用于人体引起躯体机能的变化的中介，即人体感受刺激和心理反应形成后，神经系统、内分泌系统、免疫系统产生反应，形成调节网络，产生“中介物质”或引起“中介物质”的变化，如生物电、神经递质和激素的变化等，最终引起躯体机能的变化
中枢神经系统是社会因素作用的控制器：社会因素从被人感知直到产生效应的整个过程都受脑的控制。由于脑的调节和控制作用，使同样的社会因素对不同的人可能产生不同的健康效应。脑的控制作用主要是通过调节内分泌功能来体现的"
四、健康社会决定因素模型的内容：,"健康社会决定因素模型是指达尔格伦和怀特海德在1991年建立的健康社会影响因素分层模型，该模型由内向外分别代表影响个体健康的主要因素以及这些因素背后的诱因
第一层：代表不同基因的个体
第二层：代表个体行为和生活方式可能对健康带来不同影响
第三层：代表社会和社区影响，社会支持可能对个体健康带来有利影响，也可能带来不利影响
第四层：代表社会结构性因素，如住房、工作环境卫生、保健服务、水和卫生设施等
第五层：代表宏观社会经济、文化和环境，处于内环的因素都受到外层因素影响"
五、影响健康的主要社会因素/健康社会决定因素的分类,"年龄、性别和遗传因素：年龄、性别、遗传因素对于个体健康状况具有重要影响
个体生活方式：吸烟、酗酒、不良饮食、缺乏锻炼、高危性行为等不良个体的行为生活方式会增加患病风险
社会支持网络
社会支持：个体从社会网络获得的物质和情感帮助称为社会支持。分为：工具性支持，指提供可见的帮助和行动；评价性支持，指提供反馈和行动意见，供决策者参考；信息性支持，指单纯提供信息
社会资本：个人拥有的社会关系成为一种社会资源而被个体所用。社会资本对个体健康的影响通过三种渠道：影响个人获取健康信息和行为规范；影响个人对卫生服务的利用；社会资本通过情感支持，影响人的心理健康，从而影响躯体健康
社会经济地位：用收入、教育和职业三个指标测量社会经济地位，是指个体或群体在社会中所处的位置
其他社会结构因素：包括工作环境、城市化、卫生保健服务
宏观社会经济、文化和环境：包括政治、文化、价值观与社会规范和环境"
六、健康社会决定因素行动框架/健康社会决定因素中直接决定人健康的因素,"日常生活环境：指人们出生成长、生活、工作、衰老的环境，包括物质环境、社会支持、社会心理因素、行为因素和生物学因素，卫生服务体系虽然独立，也是之一
社会结构性因素：决定日常生活环境的社会结构性因素体现了权力、财富，资源的不同分配
个体层面的社会结构性因素：社会地位，教育，职业，收入，性别，种族民族
宏观社会层面的社会结构性因素是社会经济环境，主要包括政治治理、社会政策和文化、社会规范与价值观三个方面"
七、宏观经济与健康的关系：,"经济发展能推动卫生改善，健康水平提高同样推动社会经济发展，社会经济发展与人群健康关系是辩证统一的。社会经济发展是人群健康水平提高的根本保证，经济的发展必须以人群健康为条件，人群健康水平的提高促进社会经济的高速发展，二者互相促进
经济水平低下影响健康：经济水平低下带来的各种影响生活质量的不良因素对健康水平起到综合的作用。影响人们的收入、开支、营养状况、居住条件、受教育机会等，形成特定的社会不良环境
经济发展促进健康水平的提高：
经济发展对人群健康水平有重要影响。是保障健康的物质基础，对健康指标的影响通过多渠道综合作用
经济发展是提高物质生活水平的前提，可以为人们提供充足的食物营养、良好的生活与劳动条件
增加卫生投资，促进医疗卫生事业发展
还可以通过对教育的影响间接影响人群健康
健康水平的提高促进经济发展：社会经济的发展，社会生产力的提高将对社会经济发展起到推动作用。表现在人群健康水平提高，人口平均寿命延长，人群从事劳动年限增加，创造更多的社会财富，促进社会经济发展
经济发展对健康可能带来的负面影响：
环境污染和破坏
生活方式的改变
大量合成化学物进入人类生活
心理健康问题
社会流动人口增加
现代社会病增加
负性社会事件增加"
八、个人的社会经济地位对健康的影响,"个人社会地位如何影响健康概括为几个途径：即行为方式、福利水平、心理压力、孤独与社会关系、父母的地位遗传等
教育水平较低者更不容易认识到不利行为的危害，更好的教育水平可以增强人们解决问题的能力和调控健康的能力、促进心智成熟、增强充实感
收入水平较低的人更容易养成吸烟、喝酒等对健康不利的行为习惯
社会经济地位较差的人经历了更多的危机和不可控的生命事件，例如生活条件较差者更容易受到犯罪、暴力、歧视、生病、孩子死亡等急剧生活转变的影响，更容易受到生活的压力以及收入来源的不确定性等慢性压力的影响
福利水平的观点认为，社会经济地位较高者更容易获取良好的居住生活环境、较好的营养状况和医疗卫生服务
心理压力观点认为，较低收入群体的人有更高的可能性面临着急剧的生活转变和慢性压力，这些转变和压力带来的心理状态恶化是造成个人健康水平较差的因素。孤独与社会关系也会影响到人的健康"
九、社会制度的概念：,社会制度是指在一定历史条件下形成的社会关系和社会活动的规范体系。社会制度的含义有三层：一是社会形态，如社会主义制度；二是各种具体的社会制度，如政治制度、经济制度等；三是各种社会组织的规章制度，如考勤制度
十、社会制度影响健康的途径,"不同分配制度影响居民健康：由于目前各国贫富差别十分悬殊，世界上大约有10亿人处于贫困和营养不良的状况。此外卫生资源分配不合理是全球普遍存在的问题
社会制度对卫生政策的决定性作用：社会制度对卫生政策及人群健康影响最广泛、最深远的是政治制度。政治制度的核心是社会各阶层人群在政治生活中的地位及管理国家的原原则，是一切制度和政策实施、发展、巩固的保证
社会制度影响人的行为：社会制度实质上是一种社会规范体系，它对人们的行为具有广泛的导向和调节作用。它通过行为规范模式，提倡或禁止某些行为方式、保持和促进社会的协调发展"
十一、人口发展与健康：人口发展的成功，取决于资源的平衡,"人口数量与健康：
加重社会负担：如果人口增长速度超过了经济增长速度，则会加重社会负担
加重教育及卫生事业的负担
加重环境污染和破坏
人口结构与健康：
人口年龄结构与健康：老年人口患病率高、致残率高，卫生资源消耗量大，是各国重大社会问题
人口性别结构与健康：人口性别结构是指男女人口分别在总人口中所占的百分比，性比例平衡是社会安定的基础因素之一，性比例失调是滋生社会问题的根源之一
人口流动与健康：人口流动可促进经济繁荣及社会发展，给居民健康带来有利影响；但会出现一些特殊的卫生问题，给医疗卫生工作提出新的要求"
十二、卫生事业发展与健康：,"卫生服务的基本功能：包括保健功能与社会功能
保健功能通过预防、保健、治疗、康复及健康教育措施降低人群发病率、死亡率。通过生理、心理、社会全方位保健措施维护人群健康，提高生命质量
社会功能包括：医疗保健服务使患者康复；延长寿命、延长劳动时间；消除病人对疾病的焦虑和恐慌，有利于社会安定
医疗卫生部门是精神文明窗口，有利于社会凝聚力的增强
卫生资源与健康：卫生资源的投入量及其分布对人群健康影响极大
卫生服务的组织实施与健康：合理使用卫生资源，科学地组织实施卫生服务，提高社会效益，有利于人群整体健康水平的提高"
十三、家庭的常见类型,"家庭的概念：家庭是以婚姻和血缘关系为基础建立起来的一种社会生活群体，是社会的细胞。家庭是人出生后首先接触的社会，是人们日常活动的主要场所。家庭对一个人的成长及身心健康有着深刻的影响
核心家庭：是由一对夫妇与其未婚子女组成的家庭。这种家庭仅两代人组成，只有一个权利中心，关系较为简单。仅一对夫妇，无子女的家庭、一对夫妇和未婚的领养子女组成的家庭或由父母中某一方与未婚子女组成的家庭也可归入此种家庭
扩大家庭：是由两个或更多的住在一起的核心家庭组成。扩大家庭又可以分为主干家庭和联合家庭两种
主干家庭又称直系双偶家庭，是由父母和一个已婚子女共同组成的家庭，是扩大家庭的最典型形式，除有一个主要权利中心外，尚有一个次要中心，关系比核心家庭复杂
联合家庭是由一对夫妇（或一方）与两对及两对以上的已婚子女及其未婚子女所组成的家庭。我国传统的几世同堂就属于这种家庭。这种家庭可能有多个权利中心，关系复杂，结构松散而不稳定"
十四、家庭的功能及对健康的影响,"家庭的功能：家庭功能包括满足人们的生理需要和社会需要，主要可以归纳为四种功能：
养育子女：家庭的养育功能不仅包括生养，也包括教育。家庭教育对儿童心理、人格和行为方式的形成有重要的影响作用
生产和消费：家庭的生产功能是历史性的，将随着社会发展而逐渐缩小并趋向消失，而家庭的消费功能则是永存的
赡养：下辈家庭成员有赡养上辈家庭成员的义务。当年老的家庭成员丧失劳动能力后，物质和精神上的需要首先应由家庭承担
提供休息娱乐的特殊环境：家庭环境作为人们一天工作之后的休息和娱乐环境，是其他任何场所不能代替的。家庭对体力的恢复和精神的调节都有主要作用
对健康的影响：
家庭关系不良：如果家庭关系失调，家庭成员之间关系不融洽，家庭成员不能从家庭中得到互相帮助和支持，则必然对家庭每个成员的健康产生不利的影响
家庭功能失调：既影响物质生活，也影响精神生活。家庭消费及教育功能失调与营养性疾病、心血管疾病、传染性疾病、精神疾病，甚至青少年犯罪都有明显关系；家庭照顾包括心理支持和生活照料，如果家庭不能发挥照顾的功能，则难以对来自外界的应激原产生缓冲作用，结果使心理紧张加重，发展严重就会发生疾病
家庭结构的破坏：无论家庭的规模大小，结构不完整都会影响健康，丧偶、离婚是家庭结构的严重破坏，对健康损害最大"
十五、文化的概念及分类：,"文化的概念
广义的文化指物质文化和精神文化的总和；狭义的文化即精神文化，指人类精神财富的总和，包括思想意识、宗教信仰、文学艺术、科学技术、风俗习惯、教育、法律、道德规范等。各种文化可归为智能文化、规范文化和思想文化
文化的分类：各种文化可归为智能文化、规范文化和思想文化
智能文化：通过影响人的生活环境和生活条件作用于人的健康
规范文化：通过支配人们的行为来影响健康，一些有害健康的道德规范和风俗习惯使人们采取有害健康的行为生活方式而影响健康
思想文化：主要通过影响人们的心理过程和精神生活影响人群健康"
